"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","VEN","84","84.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","VEN","98","98.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","VEN","83","83.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","VEN","83","83.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","VEN","80","80.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","VEN","76","76.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","VEN","82","82.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","VEN","87","87.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","VEN","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","VEN","87","87.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","VEN","79","79.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","VEN","86","86.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","VEN","87","87.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","VEN","85","85.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","VEN","89","89.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","VEN","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","VEN","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","VEN","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","VEN","74","74.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","VEN","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","VEN","76","76.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","VEN","68","68.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","VEN","68","68.00000","","","","",""
