"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","ARG","23803","23803.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","ARG","23108","23108.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","ARG","39291","39291.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","ARG","36538","36538.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","ARG","9551","9551.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","ARG","9985","9985.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","ARG","16102","16102.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","ARG","17582","17582.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","ARG","4432","4432.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","ARG","7106","7106.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","ARG","31751","31751.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","ARG","9240","9240.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","ARG","6448","6448.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","ARG","8024","8024.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","ARG","4751","4751.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","ARG","4009","4009.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","ARG","1967","1967.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","ARG","42093","42093.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","ARG","20551","20551.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","ARG","5087","5087.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","ARG","134","134.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","ARG","655","655.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","ARG","59","59.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","ARG","125","125.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","ARG","10229","10229.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","ARG","313","313.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","ARG","6","6.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","ARG","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","ARG","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","ARG","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","ARG","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","ARG","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","ARG","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","ARG","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","ARG","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","ARG","3","3.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","ARG","17","17.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","ARG","3","3.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","ARG","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","ARG","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","ARG","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","ARG","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","ARG","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","ARG","3","3.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","ARG","14","14.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","ARG","130","130.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","ARG","69","69.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","ARG","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","ARG","2","2.00000","","","","",""
