"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","BHS","432","432.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","BHS","14","14.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","BHS","933","933.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","BHS","1831","1831.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","BHS","222","222.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","BHS","1659","1659.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","BHS","484","484.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","BHS","45","45.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","BHS","50","50.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","BHS","2868","2868.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","BHS","36","36.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","BHS","26","26.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","BHS","85","85.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","BHS","42","42.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","BHS","22","22.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","BHS","59","59.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","BHS","72","72.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","BHS","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","BHS","3","3.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","BHS","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","BHS","0","0.00000","","","","",""
