"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","BLZ","8","8.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","BLZ","429","429.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","BLZ","1341","1341.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","BLZ","19","19.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","BLZ","216","216.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","BLZ","255","255.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","BLZ","607","607.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","BLZ","186","186.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","BLZ","6","6.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","BLZ","11","11.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","BLZ","4","4.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","BLZ","7","7.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","BLZ","124","124.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","BLZ","224","224.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","BLZ","74","74.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","BLZ","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","BLZ","25","25.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","BLZ","7","7.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","BLZ","11","11.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","BLZ","4","4.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","BLZ","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","BLZ","0","0.00000","","","","",""
