"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","BOL","5318","5318.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","BOL","2244","2244.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","BOL","6427","6427.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","BOL","8194","8194.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","BOL","3363","3363.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","BOL","5802","5802.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","BOL","4181","4181.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","BOL","7654","7654.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","BOL","720","720.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","BOL","2034","2034.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","BOL","1270","1270.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","BOL","217","217.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","BOL","346","346.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","BOL","987","987.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","BOL","1793","1793.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","BOL","669","669.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","BOL","820","820.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","BOL","2108","2108.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","BOL","4937","4937.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","BOL","3391","3391.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","BOL","1441","1441.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","BOL","76","76.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","BOL","7","7.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","BOL","7","7.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","BOL","1004","1004.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","BOL","1441","1441.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","BOL","122","122.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","BOL","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","BOL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","BOL","0","0.00000","","","","",""
