"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","BRA","20061","20061.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","BRA","19764","19764.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","BRA","73631","73631.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","BRA","54410","54410.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","BRA","51345","51345.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","BRA","65552","65552.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","BRA","99263","99263.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","BRA","61281","61281.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","BRA","39370","39370.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","BRA","58259","58259.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","BRA","80875","80875.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","BRA","75993","75993.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","BRA","129126","129126.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","BRA","66059","66059.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","BRA","26179","26179.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","BRA","22853","22853.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","BRA","61435","61435.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","BRA","42537","42537.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","BRA","7934","7934.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","BRA","6037","6037.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","BRA","35","35.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","BRA","793","793.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","BRA","580","580.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","BRA","52284","52284.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","BRA","2781","2781.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","BRA","908","908.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","BRA","36","36.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","BRA","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","BRA","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","BRA","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","BRA","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","BRA","6","6.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","BRA","57","57.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","BRA","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","BRA","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","BRA","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","BRA","68","68.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","BRA","43","43.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","BRA","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","BRA","220","220.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","BRA","876","876.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","BRA","214","214.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","BRA","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","BRA","10330","10330.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","BRA","20901","20901.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","BRA","8448","8448.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","BRA","668","668.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","BRA","41","41.00000","","","","",""
