"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","CAN","11985","11985.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","CAN","13143","13143.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","CAN","9158","9158.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","CAN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","CAN","5858","5858.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","CAN","22444","22444.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","CAN","13864","13864.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","CAN","2307","2307.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","CAN","1064","1064.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","CAN","934","934.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","CAN","4078","4078.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","CAN","2816","2816.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","CAN","14941","14941.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","CAN","2385","2385.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","CAN","609","609.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","CAN","11145","11145.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","CAN","1033","1033.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","CAN","6178","6178.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","CAN","2742","2742.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","CAN","203","203.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","CAN","523","523.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","CAN","2361","2361.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","CAN","327","327.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","CAN","579","579.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","CAN","12","12.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","CAN","29","29.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","CAN","206","206.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","CAN","34","34.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","CAN","6","6.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","CAN","15","15.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","CAN","7","7.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","CAN","6","6.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","CAN","13","13.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","CAN","101","101.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","CAN","62","62.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","CAN","14","14.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","CAN","99","99.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","CAN","803","803.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","CAN","10","10.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","CAN","83","83.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","CAN","418","418.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","CAN","195","195.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","CAN","11","11.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","CAN","45","45.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","CAN","28","28.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","CAN","113","113.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","CAN","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","CAN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","CAN","3","3.00000","","","","",""
