"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","CHL","16806","16806.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","CHL","8413","8413.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","CHL","2542","2542.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","CHL","1062","1062.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","CHL","15381","15381.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","CHL","34390","34390.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","CHL","3844","3844.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","CHL","6527","6527.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","CHL","9438","9438.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","CHL","6752","6752.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","CHL","4785","4785.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","CHL","17101","17101.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","CHL","12563","12563.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","CHL","2623","2623.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","CHL","45079","45079.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","CHL","13008","13008.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","CHL","1958","1958.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","CHL","2098","2098.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","CHL","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","CHL","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","CHL","58","58.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","CHL","6","6.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","CHL","31","31.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","CHL","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","CHL","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","CHL","6","6.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","CHL","9","9.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","CHL","24","24.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","CHL","11","11.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","CHL","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","CHL","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","CHL","0","0.00000","","","","",""
