"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","CRI","512","512.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","CRI","743","743.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","CRI","1774","1774.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","CRI","2054","2054.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","CRI","361","361.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","CRI","6883","6883.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","CRI","1000","1000.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","CRI","170","170.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","CRI","167","167.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","CRI","39","39.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","CRI","11","11.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","CRI","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","CRI","4534","4534.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","CRI","4004","4004.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","CRI","358","358.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","CRI","33","33.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","CRI","76","76.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","CRI","6296","6296.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","CRI","2361","2361.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","CRI","273","273.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","CRI","35","35.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","CRI","24","24.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","CRI","26","26.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","CRI","27","27.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","CRI","23","23.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","CRI","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","CRI","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","CRI","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","CRI","10","10.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","CRI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","CRI","0","0.00000","","","","",""
