"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","CUB","13874","13874.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","CUB","10585","10585.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","CUB","14882","14882.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","CUB","25358","25358.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","CUB","18751","18751.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","CUB","7512","7512.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","CUB","3924","3924.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","CUB","18387","18387.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","CUB","23408","23408.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","CUB","3287","3287.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","CUB","3315","3315.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","CUB","2874","2874.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","CUB","3312","3312.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","CUB","858","858.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","CUB","121","121.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","CUB","12","12.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","CUB","12","12.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","CUB","17","17.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","CUB","12","12.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","CUB","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","CUB","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","CUB","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","CUB","0","0.00000","","","","",""
