"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","DOM","4148","4148.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","DOM","4224","4224.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","DOM","7225","7225.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","DOM","5707","5707.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","DOM","5796","5796.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","DOM","8944","8944.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","DOM","9760","9760.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","DOM","3410","3410.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","DOM","3671","3671.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","DOM","2960","2960.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","DOM","4429","4429.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","DOM","4417","4417.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","DOM","501","501.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","DOM","499","499.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","DOM","692","692.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","DOM","1505","1505.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","DOM","3477","3477.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","DOM","7512","7512.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","DOM","7650","7650.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","DOM","4637","4637.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","DOM","3","3.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","DOM","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","DOM","14","14.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","DOM","274","274.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","DOM","253","253.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","DOM","113","113.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","DOM","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","DOM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","DOM","0","0.00000","","","","",""
