"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","ECU","3906","3906.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","ECU","241","241.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","ECU","7009","7009.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","ECU","2438","2438.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","ECU","870","870.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","ECU","4206","4206.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","ECU","2722","2722.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","ECU","4678","4678.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","ECU","1647","1647.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","ECU","2556","2556.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","ECU","6979","6979.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","ECU","1183","1183.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","ECU","839","839.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","ECU","1537","1537.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","ECU","8004","8004.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","ECU","3649","3649.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","ECU","1646","1646.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","ECU","1585","1585.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","ECU","4356","4356.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","ECU","3627","3627.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","ECU","3668","3668.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","ECU","919","919.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","ECU","42","42.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","ECU","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","ECU","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","ECU","257","257.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","ECU","72","72.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","ECU","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","ECU","19","19.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","ECU","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","ECU","0","0.00000","","","","",""
