"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","SLV","467","467.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","SLV","511","511.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","SLV","7227","7227.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","SLV","7567","7567.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","SLV","1621","1621.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","SLV","10371","10371.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","SLV","2315","2315.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","SLV","12554","12554.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","SLV","3664","3664.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","SLV","2407","2407.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","SLV","4775","4775.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","SLV","1413","1413.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","SLV","278","278.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","SLV","405","405.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","SLV","787","787.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","SLV","509","509.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","SLV","38","38.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","SLV","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","SLV","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","SLV","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","SLV","0","0.00000","","","","",""
