"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","GTM","926","926.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","GTM","3007","3007.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","GTM","3791","3791.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","GTM","2682","2682.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","GTM","2178","2178.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","GTM","3351","3351.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","GTM","2703","2703.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","GTM","3472","3472.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","GTM","3992","3992.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","GTM","2762","2762.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","GTM","3072","3072.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","GTM","2272","2272.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","GTM","1650","1650.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","GTM","400","400.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","GTM","182","182.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","GTM","2413","2413.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","GTM","8802","8802.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","GTM","209","209.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","GTM","97","97.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","GTM","17","17.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","GTM","204","204.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","GTM","23","23.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","GTM","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","GTM","8","8.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","GTM","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","GTM","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","GTM","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","GTM","0","0.00000","","","","",""
