"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","GUY","314","314.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","GUY","58","58.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","GUY","327","327.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","GUY","240","240.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","GUY","11","11.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","GUY","910","910.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","GUY","464","464.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","GUY","7","7.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","GUY","41","41.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","GUY","20","20.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","GUY","294","294.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","GUY","87","87.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","GUY","15","15.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","GUY","22","22.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","GUY","917","917.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","GUY","11","11.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","GUY","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","GUY","12","12.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","GUY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","GUY","0","0.00000","","","","",""
