"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","HTI","837","837.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","HTI","718","718.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","HTI","1330","1330.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","HTI","970","970.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","HTI","280","280.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","HTI","1143","1143.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","HTI","507","507.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","HTI","2502","2502.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","HTI","1064","1064.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","HTI","869","869.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","HTI","1681","1681.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","HTI","2111","2111.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","HTI","269","269.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","HTI","3130","3130.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","HTI","235","235.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","HTI","580","580.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","HTI","1414","1414.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","HTI","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","HTI","3","3.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","HTI","992","992.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","HTI","159","159.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","HTI","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","HTI","0","0.00000","","","","",""
