"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","HND","2346","2346.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","HND","3098","3098.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","HND","4206","4206.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","HND","2538","2538.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","HND","5219","5219.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","HND","4895","4895.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","HND","4188","4188.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","HND","5857","5857.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","HND","2446","2446.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","HND","1168","1168.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","HND","5028","5028.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","HND","6476","6476.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","HND","603","603.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","HND","1437","1437.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","HND","1155","1155.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","HND","6353","6353.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","HND","8360","8360.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","HND","95","95.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","HND","58","58.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","HND","13","13.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","HND","3","3.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","HND","4","4.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","HND","5","5.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","HND","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","HND","0","0.00000","","","","",""
