"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","MEX","2325","2325.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","MEX","1530","1530.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","MEX","23722","23722.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","MEX","24035","24035.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","MEX","3078","3078.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","MEX","10691","10691.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","MEX","29730","29730.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","MEX","11136","11136.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","MEX","6364","6364.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","MEX","3368","3368.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","MEX","5158","5158.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","MEX","23826","23826.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","MEX","9824","9824.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","MEX","2776","2776.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","MEX","3915","3915.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","MEX","20381","20381.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","MEX","68782","68782.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","MEX","5077","5077.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","MEX","533","533.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","MEX","172","172.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","MEX","128","128.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","MEX","244","244.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","MEX","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","MEX","30","30.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","MEX","3","3.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","MEX","44","44.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","MEX","64","64.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","MEX","6","6.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","MEX","23","23.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","MEX","3","3.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","MEX","3","3.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","MEX","5","5.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","MEX","196","196.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","MEX","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","MEX","0","0.00000","","","","",""
