"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","NIC","841","841.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","NIC","1934","1934.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","NIC","1368","1368.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","NIC","901","901.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","NIC","161","161.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","NIC","1270","1270.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","NIC","3784","3784.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","NIC","224","224.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","NIC","226","226.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","NIC","112","112.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","NIC","153","153.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","NIC","956","956.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","NIC","2550","2550.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","NIC","792","792.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","NIC","314","314.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","NIC","2332","2332.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","NIC","339","339.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","NIC","3","3.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","NIC","5","5.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","NIC","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","NIC","0","0.00000","","","","",""
