"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","PRY","2601","2601.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","PRY","140","140.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","PRY","1331","1331.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","PRY","1596","1596.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","PRY","487","487.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","PRY","1309","1309.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","PRY","745","745.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","PRY","428","428.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","PRY","531","531.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","PRY","1259","1259.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","PRY","979","979.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","PRY","666","666.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","PRY","610","610.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","PRY","1742","1742.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","PRY","755","755.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","PRY","386","386.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","PRY","1396","1396.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","PRY","526","526.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","PRY","864","864.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","PRY","2066","2066.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","PRY","122","122.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","PRY","73","73.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","PRY","13","13.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","PRY","143","143.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","PRY","70","70.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","PRY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","PRY","1","1.00000","","","","",""
