"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","PER","7687","7687.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","PER","6749","6749.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","PER","9761","9761.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","PER","8827","8827.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","PER","3386","3386.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","PER","13345","13345.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","PER","19246","19246.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","PER","10071","10071.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","PER","12708","12708.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","PER","7619","7619.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","PER","13039","13039.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","PER","9393","9393.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","PER","6099","6099.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","PER","6240","6240.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","PER","5785","5785.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","PER","1145","1145.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","PER","737","737.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","PER","1014","1014.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","PER","22605","22605.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","PER","1730","1730.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","PER","670","670.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","PER","353","353.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","PER","105","105.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","PER","95","95.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","PER","10","10.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","PER","12","12.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","PER","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","PER","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","PER","4","4.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","PER","42","42.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","PER","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","PER","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","PER","0","0.00000","","","","",""
