"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","TTO","219","219.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","TTO","244","244.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","TTO","589","589.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","TTO","1602","1602.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","TTO","775","775.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","TTO","394","394.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","TTO","384","384.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","TTO","3601","3601.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","TTO","1284","1284.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","TTO","2392","2392.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","TTO","3556","3556.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","TTO","3549","3549.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","TTO","2660","2660.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","TTO","441","441.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","TTO","388","388.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","TTO","2170","2170.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","TTO","511","511.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","TTO","141","141.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","TTO","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","TTO","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","TTO","0","0.00000","","","","",""
