"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","USA","22094","22094.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","USA","24374","24374.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","USA","41126","41126.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","USA","57345","57345.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","USA","26871","26871.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","USA","13597","13597.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","USA","13506","13506.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","USA","3124","3124.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","USA","1714","1714.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","USA","1497","1497.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","USA","2587","2587.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","USA","2822","2822.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","USA","6282","6282.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","USA","3655","3655.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","USA","3396","3396.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","USA","18193","18193.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","USA","27786","27786.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","USA","9643","9643.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","USA","2231","2231.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","USA","312","312.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","USA","958","958.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","USA","309","309.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","USA","489","489.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","USA","138","138.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","USA","100","100.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","USA","100","100.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","USA","85","85.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","USA","116","116.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","USA","41","41.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","USA","56","56.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","USA","37","37.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","USA","66","66.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","USA","55","55.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","USA","43","43.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","USA","140","140.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","USA","71","71.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","USA","63","63.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","USA","220","220.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","USA","55","55.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","USA","187","187.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","USA","667","667.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","USA","188","188.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","USA","85","85.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","USA","120","120.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","USA","375","375.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","USA","1275","1275.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","USA","14","14.00000","","","","",""
