"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","URY","4456","4456.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","URY","5754","5754.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","URY","1356","1356.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","URY","5178","5178.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","URY","552","552.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","URY","1226","1226.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","URY","141","141.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","URY","15465","15465.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","URY","135","135.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","URY","18","18.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","URY","352","352.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","URY","160","160.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","URY","198","198.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","URY","1190","1190.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","URY","76","76.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","URY","20","20.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","URY","110","110.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","URY","2040","2040.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","URY","187","187.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","URY","16","16.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","URY","5","5.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","URY","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","URY","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","URY","6","6.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","URY","34","34.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","URY","9","9.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","URY","2","2.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","URY","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2022","AMR","URY","0","0.00000","","","","",""
