"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_62","PUBLISHED","1974","AMR","VEN","33454","33454.00000","","","","",""
"WHS3_62","PUBLISHED","1975","AMR","VEN","34796","34796.00000","","","","",""
"WHS3_62","PUBLISHED","1976","AMR","VEN","23268","23268.00000","","","","",""
"WHS3_62","PUBLISHED","1977","AMR","VEN","13330","13330.00000","","","","",""
"WHS3_62","PUBLISHED","1978","AMR","VEN","18568","18568.00000","","","","",""
"WHS3_62","PUBLISHED","1979","AMR","VEN","21691","21691.00000","","","","",""
"WHS3_62","PUBLISHED","1980","AMR","VEN","9750","9750.00000","","","","",""
"WHS3_62","PUBLISHED","1981","AMR","VEN","31255","31255.00000","","","","",""
"WHS3_62","PUBLISHED","1982","AMR","VEN","14200","14200.00000","","","","",""
"WHS3_62","PUBLISHED","1983","AMR","VEN","11263","11263.00000","","","","",""
"WHS3_62","PUBLISHED","1984","AMR","VEN","11833","11833.00000","","","","",""
"WHS3_62","PUBLISHED","1985","AMR","VEN","21974","21974.00000","","","","",""
"WHS3_62","PUBLISHED","1986","AMR","VEN","14026","14026.00000","","","","",""
"WHS3_62","PUBLISHED","1987","AMR","VEN","19261","19261.00000","","","","",""
"WHS3_62","PUBLISHED","1988","AMR","VEN","12339","12339.00000","","","","",""
"WHS3_62","PUBLISHED","1989","AMR","VEN","10160","10160.00000","","","","",""
"WHS3_62","PUBLISHED","1990","AMR","VEN","9881","9881.00000","","","","",""
"WHS3_62","PUBLISHED","1991","AMR","VEN","15273","15273.00000","","","","",""
"WHS3_62","PUBLISHED","1992","AMR","VEN","11949","11949.00000","","","","",""
"WHS3_62","PUBLISHED","1993","AMR","VEN","20244","20244.00000","","","","",""
"WHS3_62","PUBLISHED","1994","AMR","VEN","15364","15364.00000","","","","",""
"WHS3_62","PUBLISHED","1995","AMR","VEN","172","172.00000","","","","",""
"WHS3_62","PUBLISHED","1996","AMR","VEN","89","89.00000","","","","",""
"WHS3_62","PUBLISHED","1997","AMR","VEN","27","27.00000","","","","",""
"WHS3_62","PUBLISHED","1998","AMR","VEN","4","4.00000","","","","",""
"WHS3_62","PUBLISHED","1999","AMR","VEN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2000","AMR","VEN","22","22.00000","","","","",""
"WHS3_62","PUBLISHED","2001","AMR","VEN","115","115.00000","","","","",""
"WHS3_62","PUBLISHED","2002","AMR","VEN","2392","2392.00000","","","","",""
"WHS3_62","PUBLISHED","2003","AMR","VEN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2004","AMR","VEN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2005","AMR","VEN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2006","AMR","VEN","78","78.00000","","","","",""
"WHS3_62","PUBLISHED","2007","AMR","VEN","32","32.00000","","","","",""
"WHS3_62","PUBLISHED","2008","AMR","VEN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2009","AMR","VEN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2010","AMR","VEN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2011","AMR","VEN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2012","AMR","VEN","1","1.00000","","","","",""
"WHS3_62","PUBLISHED","2013","AMR","VEN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2014","AMR","VEN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2015","AMR","VEN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2016","AMR","VEN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2017","AMR","VEN","727","727.00000","","","","",""
"WHS3_62","PUBLISHED","2018","AMR","VEN","5667","5667.00000","","","","",""
"WHS3_62","PUBLISHED","2019","AMR","VEN","548","548.00000","","","","",""
"WHS3_62","PUBLISHED","2020","AMR","VEN","0","0.00000","","","","",""
"WHS3_62","PUBLISHED","2021","AMR","VEN","0","0.00000","","","","",""
