"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","ARG","23733","23733.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","ARG","10917","10917.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","ARG","44447","44447.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","ARG","44875","44875.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","ARG","17014","17014.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","ARG","19597","19597.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","ARG","27223","27223.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","ARG","21695","21695.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","ARG","6383","6383.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","ARG","6115","6115.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","ARG","16288","16288.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","ARG","4654","4654.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","ARG","1952","1952.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","ARG","1722","1722.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","ARG","3685","3685.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","ARG","2943","2943.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","ARG","2012","2012.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","ARG","2330","2330.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","ARG","2166","2166.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","ARG","1201","1201.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","ARG","1497","1497.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","ARG","1208","1208.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","ARG","767","767.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","ARG","640","640.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","ARG","677","677.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","ARG","592","592.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","ARG","515","515.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","ARG","431","431.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","ARG","267","267.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","ARG","643","643.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","ARG","976","976.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","ARG","2060","2060.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","ARG","1607","1607.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","ARG","2587","2587.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","ARG","3085","3085.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","ARG","1743","1743.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","ARG","804","804.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","ARG","3185","3185.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","ARG","1239","1239.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","ARG","1112","1112.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","ARG","561","561.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","ARG","975","975.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","ARG","1686","1686.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","ARG","864","864.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","ARG","900","900.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","ARG","975","975.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","ARG","162","162.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","ARG","174","174.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","ARG","196","196.00000","","","","",""
