"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","BLZ","131","131.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","BLZ","128","128.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","BLZ","18","18.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","BLZ","52","52.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","BLZ","2","2.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","BLZ","11","11.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","BLZ","59","59.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","BLZ","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","BLZ","3","3.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","BLZ","36","36.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","BLZ","8","8.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","BLZ","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","BLZ","3","3.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","BLZ","4","4.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","BLZ","3","3.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","BLZ","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","BLZ","2","2.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","BLZ","44","44.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","BLZ","6","6.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","BLZ","3","3.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","BLZ","4","4.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","BLZ","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","BLZ","2","2.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","BLZ","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","BLZ","0","0.00000","","","","",""
