"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","BOL","3536","3536.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","BOL","3078","3078.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","BOL","2194","2194.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","BOL","4375","4375.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","BOL","2611","2611.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","BOL","2457","2457.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","BOL","2377","2377.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","BOL","5028","5028.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","BOL","1387","1387.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","BOL","1445","1445.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","BOL","1393","1393.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","BOL","964","964.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","BOL","439","439.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","BOL","520","520.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","BOL","685","685.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","BOL","705","705.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","BOL","159","159.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","BOL","56","56.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","BOL","284","284.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","BOL","245","245.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","BOL","45","45.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","BOL","36","36.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","BOL","14","14.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","BOL","138","138.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","BOL","44","44.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","BOL","16","16.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","BOL","10","10.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","BOL","55","55.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","BOL","132","132.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","BOL","46","46.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","BOL","6","6.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","BOL","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","BOL","6","6.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","BOL","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","BOL","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","BOL","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","BOL","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","BOL","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","BOL","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","BOL","31","31.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","BOL","75","75.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","BOL","11","11.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","BOL","27","27.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","BOL","7","7.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","BOL","21","21.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","BOL","29","29.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","BOL","12","12.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","BOL","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","BOL","223","223.00000","","","","",""
