"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1975","AMR","BRA","18772","18772.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","BRA","28607","28607.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","BRA","33104","33104.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","BRA","34203","34203.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","BRA","34026","34026.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","BRA","45752","45752.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","BRA","42247","42247.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","BRA","54766","54766.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","BRA","26297","26297.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","BRA","19221","19221.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","BRA","22119","22119.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","BRA","23946","23946.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","BRA","16898","16898.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","BRA","8869","8869.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","BRA","13810","13810.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","BRA","15329","15329.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","BRA","7252","7252.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","BRA","5155","5155.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","BRA","5388","5388.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","BRA","4098","4098.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","BRA","3798","3798.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","BRA","1245","1245.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","BRA","101","101.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","BRA","1704","1704.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","BRA","1369","1369.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","BRA","764","764.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","BRA","657","657.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","BRA","406","406.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","BRA","1110","1110.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","BRA","1146","1146.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","BRA","1328","1328.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","BRA","797","797.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","BRA","596","596.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","BRA","1275","1275.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","BRA","1037","1037.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","BRA","477","477.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","BRA","2257","2257.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","BRA","5400","5400.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","BRA","5211","5211.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","BRA","8338","8338.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","BRA","2920","2920.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","BRA","1208","1208.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","BRA","1804","1804.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","BRA","2232","2232.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","BRA","1423","1423.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","BRA","229","229.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","BRA","143","143.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","BRA","246","246.00000","","","","",""
