"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","CAN","1579","1579.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","CAN","3387","3387.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","CAN","3002","3002.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","CAN","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","CAN","3002","3002.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","CAN","2227","2227.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","CAN","2873","2873.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","CAN","2632","2632.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","CAN","2314","2314.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","CAN","2231","2231.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","CAN","1350","1350.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","CAN","2376","2376.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","CAN","2357","2357.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","CAN","1292","1292.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","CAN","1106","1106.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","CAN","2440","2440.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","CAN","8030","8030.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","CAN","2724","2724.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","CAN","3605","3605.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","CAN","7401","7401.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","CAN","10151","10151.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","CAN","9818","9818.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","CAN","5408","5408.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","CAN","4439","4439.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","CAN","8796","8796.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","CAN","6069","6069.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","CAN","4054","4054.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","CAN","2678","2678.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","CAN","2557","2557.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","CAN","1863","1863.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","CAN","2697","2697.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","CAN","2231","2231.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","CAN","1945","1945.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","CAN","1472","1472.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","CAN","1961","1961.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","CAN","1667","1667.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","CAN","759","759.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","CAN","676","676.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","CAN","4845","4845.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","CAN","1261","1261.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","CAN","1527","1527.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","CAN","3510","3510.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","CAN","3896","3896.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","CAN","3998","3998.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","CAN","1679","1679.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","CAN","2544","2544.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","CAN","955","955.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","CAN","32","32.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","CAN","208","208.00000","","","","",""
