"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","CHL","12184","12184.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","CHL","2550","2550.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","CHL","10668","10668.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","CHL","10169","10169.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","CHL","895","895.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","CHL","446","446.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","CHL","2795","2795.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","CHL","2043","2043.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","CHL","393","393.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","CHL","127","127.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","CHL","1980","1980.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","CHL","610","610.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","CHL","38","38.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","CHL","46","46.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","CHL","224","224.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","CHL","202","202.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","CHL","59","59.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","CHL","61","61.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","CHL","264","264.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","CHL","600","600.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","CHL","208","208.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","CHL","424","424.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","CHL","1094","1094.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","CHL","1457","1457.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","CHL","2482","2482.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","CHL","3178","3178.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","CHL","3554","3554.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","CHL","1611","1611.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","CHL","1171","1171.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","CHL","1106","1106.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","CHL","1059","1059.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","CHL","1213","1213.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","CHL","1288","1288.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","CHL","1030","1030.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","CHL","969","969.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","CHL","692","692.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","CHL","794","794.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","CHL","2582","2582.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","CHL","5762","5762.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","CHL","1964","1964.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","CHL","1125","1125.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","CHL","734","734.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","CHL","752","752.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","CHL","849","849.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","CHL","682","682.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","CHL","350","350.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","CHL","62","62.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","CHL","29","29.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","CHL","0","0.00000","","","","",""
