"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","COL","17457","17457.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","COL","17353","17353.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","COL","15753","15753.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","COL","14981","14981.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","COL","15952","15952.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","COL","11209","11209.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","COL","7664","7664.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","COL","4990","4990.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","COL","7220","7220.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","COL","5450","5450.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","COL","3211","3211.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","COL","1629","1629.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","COL","2055","2055.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","COL","3272","3272.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","COL","1864","1864.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","COL","2384","2384.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","COL","1961","1961.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","COL","1336","1336.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","COL","872","872.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","COL","1271","1271.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","COL","1609","1609.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","COL","1144","1144.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","COL","111","111.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","COL","425","425.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","COL","311","311.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","COL","332","332.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","COL","446","446.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","COL","577","577.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","COL","322","322.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","COL","140","140.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","COL","25","25.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","COL","139","139.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","COL","233","233.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","COL","125","125.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","COL","408","408.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","COL","407","407.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","COL","344","344.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","COL","1010","1010.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","COL","3289","3289.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","COL","13682","13682.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","COL","734","734.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","COL","986","986.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","COL","536","536.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","COL","330","330.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","COL","416","416.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","COL","347","347.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","COL","68","68.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","COL","75","75.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","COL","111","111.00000","","","","",""
