"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","CRI","1145","1145.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","CRI","1165","1165.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","CRI","1032","1032.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","CRI","479","479.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","CRI","93","93.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","CRI","311","311.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","CRI","960","960.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","CRI","168","168.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","CRI","63","63.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","CRI","74","74.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","CRI","172","172.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","CRI","133","133.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","CRI","153","153.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","CRI","52","52.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","CRI","95","95.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","CRI","85","85.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","CRI","75","75.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","CRI","19","19.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","CRI","29","29.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","CRI","28","28.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","CRI","20","20.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","CRI","21","21.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","CRI","20","20.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","CRI","33","33.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","CRI","29","29.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","CRI","11","11.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","CRI","23","23.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","CRI","51","51.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","CRI","32","32.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","CRI","27","27.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","CRI","13","13.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","CRI","7","7.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","CRI","1037","1037.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","CRI","2024","2024.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","CRI","2024","2024.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","CRI","664","664.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","CRI","71","71.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","CRI","79","79.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","CRI","130","130.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","CRI","58","58.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","CRI","31","31.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","CRI","20","20.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","CRI","23","23.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","CRI","58","58.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","CRI","36","36.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","CRI","51","51.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","CRI","10","10.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","CRI","2","2.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","CRI","5","5.00000","","","","",""
