"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","CUB","1653","1653.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","CUB","326","326.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","CUB","139","139.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","CUB","978","978.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","CUB","1466","1466.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","CUB","147","147.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","CUB","131","131.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","CUB","379","379.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","CUB","915","915.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","CUB","275","275.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","CUB","86","86.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","CUB","195","195.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","CUB","342","342.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","CUB","103","103.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","CUB","32","32.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","CUB","70","70.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","CUB","70","70.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","CUB","23","23.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","CUB","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","CUB","11","11.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","CUB","2","2.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","CUB","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","CUB","0","0.00000","","","","",""
