"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","DOM","4442","4442.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","DOM","5023","5023.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","DOM","2370","2370.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","DOM","1035","1035.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","DOM","994","994.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","DOM","946","946.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","DOM","558","558.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","DOM","212","212.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","DOM","216","216.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","DOM","302","302.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","DOM","177","177.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","DOM","172","172.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","DOM","217","217.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","DOM","149","149.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","DOM","104","104.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","DOM","255","255.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","DOM","227","227.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","DOM","33","33.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","DOM","71","71.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","DOM","5","5.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","DOM","4","4.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","DOM","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","DOM","2","2.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","DOM","2","2.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","DOM","20","20.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","DOM","21","21.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","DOM","40","40.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","DOM","19","19.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","DOM","10","10.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","DOM","23","23.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","DOM","53","53.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","DOM","63","63.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","DOM","17","17.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","DOM","10","10.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","DOM","11","11.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","DOM","18","18.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","DOM","37","37.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","DOM","3","3.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","DOM","11","11.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","DOM","17","17.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","DOM","98","98.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","DOM","69","69.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","DOM","26","26.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","DOM","41","41.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","DOM","147","147.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","DOM","123","123.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","DOM","8","8.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","DOM","8","8.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","DOM","5","5.00000","","","","",""
