"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","ECU","4960","4960.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","ECU","2382","2382.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","ECU","2133","2133.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","ECU","2307","2307.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","ECU","1964","1964.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","ECU","1991","1991.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","ECU","836","836.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","ECU","803","803.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","ECU","1165","1165.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","ECU","802","802.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","ECU","420","420.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","ECU","741","741.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","ECU","907","907.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","ECU","312","312.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","ECU","197","197.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","ECU","247","247.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","ECU","487","487.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","ECU","601","601.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","ECU","320","320.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","ECU","362","362.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","ECU","562","562.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","ECU","176","176.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","ECU","163","163.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","ECU","235","235.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","ECU","248","248.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","ECU","204","204.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","ECU","482","482.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","ECU","308","308.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","ECU","355","355.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","ECU","127","127.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","ECU","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","ECU","23","23.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","ECU","84","84.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","ECU","125","125.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","ECU","41","41.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","ECU","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","ECU","3","3.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","ECU","54","54.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","ECU","35","35.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","ECU","9","9.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","ECU","7","7.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","ECU","16","16.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","ECU","60","60.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","ECU","30","30.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","ECU","57","57.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","ECU","8","8.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","ECU","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","ECU","57","57.00000","","","","",""
