"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","GTM","1870","1870.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","GTM","724","724.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","GTM","915","915.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","GTM","1047","1047.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","GTM","1093","1093.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","GTM","1452","1452.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","GTM","1513","1513.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","GTM","1211","1211.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","GTM","1539","1539.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","GTM","1280","1280.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","GTM","1970","1970.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","GTM","1507","1507.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","GTM","509","509.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","GTM","53","53.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","GTM","625","625.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","GTM","145","145.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","GTM","130","130.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","GTM","149","149.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","GTM","156","156.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","GTM","34","34.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","GTM","29","29.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","GTM","34","34.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","GTM","65","65.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","GTM","567","567.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","GTM","441","441.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","GTM","291","291.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","GTM","146","146.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","GTM","229","229.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","GTM","50","50.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","GTM","350","350.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","GTM","391","391.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","GTM","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","GTM","48","48.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","GTM","97","97.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","GTM","60","60.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","GTM","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","GTM","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","GTM","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","GTM","273","273.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","GTM","34","34.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","GTM","25","25.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","GTM","83","83.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","GTM","152","152.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","GTM","62","62.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","GTM","67","67.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","GTM","60","60.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","GTM","13","13.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","GTM","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","GTM","0","0.00000","","","","",""
