"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1975","AMR","GUY","7","7.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","GUY","4","4.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","GUY","61","61.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","GUY","99","99.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","GUY","23","23.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","GUY","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","GUY","4","4.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","GUY","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","GUY","44","44.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","GUY","212","212.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","GUY","3","3.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","GUY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","GUY","0","0.00000","","","","",""
