"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","HTI","1581","1581.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","HTI","2860","2860.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","HTI","2087","2087.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","HTI","1042","1042.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","HTI","1024","1024.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","HTI","1188","1188.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","HTI","812","812.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","HTI","730","730.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","HTI","1559","1559.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","HTI","524","524.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","HTI","749","749.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","HTI","1373","1373.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","HTI","469","469.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","HTI","1299","1299.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","HTI","637","637.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","HTI","1835","1835.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","HTI","913","913.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","HTI","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","HTI","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","HTI","24","24.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","HTI","14","14.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","HTI","30","30.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","HTI","2","2.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","HTI","5","5.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","HTI","44","44.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","HTI","496","496.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","HTI","824","824.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","HTI","696","696.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","HTI","4","4.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","HTI","13","13.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","HTI","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","HTI","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","HTI","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","HTI","2","2.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","HTI","4","4.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","HTI","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","HTI","9","9.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","HTI","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","HTI","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","HTI","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","HTI","0","0.00000","","","","",""
