"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","HND","4407","4407.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","HND","5516","5516.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","HND","3274","3274.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","HND","1373","1373.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","HND","1746","1746.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","HND","2451","2451.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","HND","2503","2503.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","HND","1812","1812.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","HND","1151","1151.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","HND","550","550.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","HND","630","630.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","HND","335","335.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","HND","331","331.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","HND","519","519.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","HND","143","143.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","HND","52","52.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","HND","65","65.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","HND","89","89.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","HND","425","425.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","HND","15","15.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","HND","3","3.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","HND","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","HND","200","200.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","HND","191","191.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","HND","59","59.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","HND","145","145.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","HND","169","169.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","HND","37","37.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","HND","69","69.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","HND","93","93.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","HND","104","104.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","HND","134","134.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","HND","138","138.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","HND","71","71.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","HND","224","224.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","HND","127","127.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","HND","135","135.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","HND","113","113.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","HND","48","48.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","HND","25","25.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","HND","41","41.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","HND","30","30.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","HND","151","151.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","HND","266","266.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","HND","74","74.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","HND","78","78.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","HND","11","11.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","HND","8","8.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","HND","0","0.00000","","","","",""
