"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","MEX","9020","9020.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","MEX","3450","3450.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","MEX","4580","4580.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","MEX","7472","7472.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","MEX","3100","3100.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","MEX","2625","2625.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","MEX","5539","5539.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","MEX","3977","3977.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","MEX","2000","2000.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","MEX","1227","1227.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","MEX","1753","1753.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","MEX","2608","2608.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","MEX","1268","1268.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","MEX","763","763.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","MEX","693","693.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","MEX","1978","1978.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","MEX","1078","1078.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","MEX","163","163.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","MEX","136","136.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","MEX","149","149.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","MEX","599","599.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","MEX","15","15.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","MEX","32","32.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","MEX","593","593.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","MEX","188","188.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","MEX","51","51.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","MEX","53","53.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","MEX","218","218.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","MEX","214","214.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","MEX","72","72.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","MEX","137","137.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","MEX","349","349.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","MEX","171","171.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","MEX","164","164.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","MEX","162","162.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","MEX","559","559.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","MEX","371","371.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","MEX","252","252.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","MEX","978","978.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","MEX","961","961.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","MEX","955","955.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","MEX","1107","1107.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","MEX","1029","1029.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","MEX","827","827.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","MEX","783","783.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","MEX","874","874.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","MEX","251","251.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","MEX","22","22.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","MEX","69","69.00000","","","","",""
