"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","PAN","697","697.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","PAN","135","135.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","PAN","61","61.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","PAN","127","127.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","PAN","91","91.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","PAN","738","738.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","PAN","641","641.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","PAN","103","103.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","PAN","79","79.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","PAN","229","229.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","PAN","161","161.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","PAN","92","92.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","PAN","40","40.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","PAN","45","45.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","PAN","29","29.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","PAN","34","34.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","PAN","19","19.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","PAN","107","107.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","PAN","26","26.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","PAN","209","209.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","PAN","192","192.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","PAN","3","3.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","PAN","44","44.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","PAN","109","109.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","PAN","226","226.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","PAN","212","212.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","PAN","66","66.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","PAN","7","7.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","PAN","88","88.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","PAN","11","11.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","PAN","12","12.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","PAN","28","28.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","PAN","132","132.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","PAN","78","78.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","PAN","108","108.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","PAN","101","101.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","PAN","22","22.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","PAN","36","36.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","PAN","47","47.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","PAN","42","42.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","PAN","19","19.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","PAN","9","9.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","PAN","3","3.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","PAN","5","5.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","PAN","20","20.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","PAN","108","108.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","PAN","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","PAN","5","5.00000","","","","",""
