"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","PRY","6","6.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","PRY","557","557.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","PRY","460","460.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","PRY","1094","1094.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","PRY","848","848.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","PRY","1015","1015.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","PRY","652","652.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","PRY","459","459.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","PRY","412","412.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","PRY","361","361.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","PRY","795","795.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","PRY","363","363.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","PRY","111","111.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","PRY","251","251.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","PRY","886","886.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","PRY","291","291.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","PRY","115","115.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","PRY","118","118.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","PRY","372","372.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","PRY","272","272.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","PRY","49","49.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","PRY","13","13.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","PRY","40","40.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","PRY","40","40.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","PRY","36","36.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","PRY","29","29.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","PRY","24","24.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","PRY","65","65.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","PRY","36","36.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","PRY","48","48.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","PRY","40","40.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","PRY","13","13.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","PRY","6","6.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","PRY","8","8.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","PRY","7","7.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","PRY","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","PRY","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","PRY","11","11.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","PRY","44","44.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","PRY","81","81.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","PRY","101","101.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","PRY","32","32.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","PRY","31","31.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","PRY","44","44.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","PRY","53","53.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","PRY","26","26.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","PRY","15","15.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","PRY","5","5.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","PRY","4","4.00000","","","","",""
