"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","PER","12005","12005.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","PER","12794","12794.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","PER","9316","9316.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","PER","5589","5589.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","PER","6544","6544.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","PER","12720","12720.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","PER","12134","12134.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","PER","11973","11973.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","PER","8238","8238.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","PER","7164","7164.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","PER","7145","7145.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","PER","7226","7226.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","PER","2796","2796.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","PER","2344","2344.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","PER","1553","1553.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","PER","1714","1714.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","PER","1134","1134.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","PER","470","470.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","PER","369","369.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","PER","1013","1013.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","PER","3123","3123.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","PER","872","872.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","PER","355","355.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","PER","989","989.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","PER","2490","2490.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","PER","2388","2388.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","PER","68","68.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","PER","24","24.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","PER","54","54.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","PER","68","68.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","PER","201","201.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","PER","127","127.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","PER","84","84.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","PER","47","47.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","PER","59","59.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","PER","254","254.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","PER","64","64.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","PER","56","56.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","PER","1173","1173.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","PER","1373","1373.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","PER","236","236.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","PER","119","119.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","PER","143","143.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","PER","611","611.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","PER","483","483.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","PER","414","414.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","PER","47","47.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","PER","35","35.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","PER","4","4.00000","","","","",""
