"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1976","AMR","SUR","3","3.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","SUR","12","12.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","SUR","2","2.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","SUR","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","SUR","5","5.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","SUR","2","2.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","SUR","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","SUR","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","SUR","3","3.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","SUR","13","13.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","SUR","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","SUR","4","4.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","SUR","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","SUR","33","33.00000","","","","",""
