"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","USA","2402","2402.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","USA","1738","1738.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","USA","1010","1010.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","USA","2177","2177.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","USA","2063","2063.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","USA","1623","1623.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","USA","1730","1730.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","USA","1248","1248.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","USA","1895","1895.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","USA","2463","2463.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","USA","2276","2276.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","USA","3589","3589.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","USA","4195","4195.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","USA","2823","2823.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","USA","3450","3450.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","USA","4157","4157.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","USA","4570","4570.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","USA","2719","2719.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","USA","4083","4083.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","USA","6586","6586.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","USA","4617","4617.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","USA","5137","5137.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","USA","7796","7796.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","USA","6564","6564.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","USA","7405","7405.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","USA","7288","7288.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","USA","7867","7867.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","USA","7580","7580.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","USA","9771","9771.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","USA","11647","11647.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","USA","25827","25827.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","USA","25616","25616.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","USA","15632","15632.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","USA","10454","10454.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","USA","13213","13213.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","USA","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","USA","27550","27550.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","USA","18719","18719.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","USA","48277","48277.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","USA","28639","28639.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","USA","32971","32971.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","USA","20679","20679.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","USA","17972","17972.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","USA","18975","18975.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","USA","15609","15609.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","USA","18617","18617.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","USA","6126","6126.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","USA","2115","2115.00000","","","","",""
