"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","URY","561","561.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","URY","37","37.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","URY","75","75.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","URY","1426","1426.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","URY","1125","1125.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","URY","230","230.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","URY","192","192.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","URY","445","445.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","URY","761","761.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","URY","133","133.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","URY","88","88.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","URY","503","503.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","URY","1095","1095.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","URY","384","384.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","URY","25","25.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","URY","40","40.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","URY","161","161.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","URY","42","42.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","URY","42","42.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","URY","17","17.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","URY","11","11.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","URY","69","69.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","URY","17","17.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","URY","12","12.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","URY","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","URY","3","3.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","URY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","URY","6","6.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","URY","5","5.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","URY","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","URY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","URY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","URY","15","15.00000","","","","",""
"WHS3_43","PUBLISHED","2007","AMR","URY","26","26.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","URY","128","128.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","URY","9","9.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","URY","36","36.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","URY","639","639.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","URY","598","598.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","URY","323","323.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","URY","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","URY","777","777.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","URY","371","371.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","URY","293","293.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","URY","187","187.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","URY","69","69.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","URY","22","22.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","URY","44","44.00000","","","","",""
"WHS3_43","PUBLISHED","2022","AMR","URY","6","6.00000","","","","",""
