"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_43","PUBLISHED","1974","AMR","VEN","9985","9985.00000","","","","",""
"WHS3_43","PUBLISHED","1975","AMR","VEN","9948","9948.00000","","","","",""
"WHS3_43","PUBLISHED","1976","AMR","VEN","9591","9591.00000","","","","",""
"WHS3_43","PUBLISHED","1977","AMR","VEN","11473","11473.00000","","","","",""
"WHS3_43","PUBLISHED","1978","AMR","VEN","4445","4445.00000","","","","",""
"WHS3_43","PUBLISHED","1979","AMR","VEN","1817","1817.00000","","","","",""
"WHS3_43","PUBLISHED","1980","AMR","VEN","3247","3247.00000","","","","",""
"WHS3_43","PUBLISHED","1981","AMR","VEN","4325","4325.00000","","","","",""
"WHS3_43","PUBLISHED","1982","AMR","VEN","4034","4034.00000","","","","",""
"WHS3_43","PUBLISHED","1983","AMR","VEN","3667","3667.00000","","","","",""
"WHS3_43","PUBLISHED","1984","AMR","VEN","1939","1939.00000","","","","",""
"WHS3_43","PUBLISHED","1985","AMR","VEN","4109","4109.00000","","","","",""
"WHS3_43","PUBLISHED","1986","AMR","VEN","3088","3088.00000","","","","",""
"WHS3_43","PUBLISHED","1987","AMR","VEN","915","915.00000","","","","",""
"WHS3_43","PUBLISHED","1988","AMR","VEN","465","465.00000","","","","",""
"WHS3_43","PUBLISHED","1989","AMR","VEN","634","634.00000","","","","",""
"WHS3_43","PUBLISHED","1990","AMR","VEN","1389","1389.00000","","","","",""
"WHS3_43","PUBLISHED","1991","AMR","VEN","1389","1389.00000","","","","",""
"WHS3_43","PUBLISHED","1992","AMR","VEN","507","507.00000","","","","",""
"WHS3_43","PUBLISHED","1993","AMR","VEN","556","556.00000","","","","",""
"WHS3_43","PUBLISHED","1994","AMR","VEN","808","808.00000","","","","",""
"WHS3_43","PUBLISHED","1995","AMR","VEN","510","510.00000","","","","",""
"WHS3_43","PUBLISHED","1996","AMR","VEN","443","443.00000","","","","",""
"WHS3_43","PUBLISHED","1997","AMR","VEN","973","973.00000","","","","",""
"WHS3_43","PUBLISHED","1998","AMR","VEN","609","609.00000","","","","",""
"WHS3_43","PUBLISHED","1999","AMR","VEN","502","502.00000","","","","",""
"WHS3_43","PUBLISHED","2000","AMR","VEN","555","555.00000","","","","",""
"WHS3_43","PUBLISHED","2001","AMR","VEN","474","474.00000","","","","",""
"WHS3_43","PUBLISHED","2002","AMR","VEN","372","372.00000","","","","",""
"WHS3_43","PUBLISHED","2003","AMR","VEN","408","408.00000","","","","",""
"WHS3_43","PUBLISHED","2004","AMR","VEN","715","715.00000","","","","",""
"WHS3_43","PUBLISHED","2005","AMR","VEN","836","836.00000","","","","",""
"WHS3_43","PUBLISHED","2006","AMR","VEN","1183","1183.00000","","","","",""
"WHS3_43","PUBLISHED","2008","AMR","VEN","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2009","AMR","VEN","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2010","AMR","VEN","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2011","AMR","VEN","3","3.00000","","","","",""
"WHS3_43","PUBLISHED","2012","AMR","VEN","8","8.00000","","","","",""
"WHS3_43","PUBLISHED","2013","AMR","VEN","6","6.00000","","","","",""
"WHS3_43","PUBLISHED","2014","AMR","VEN","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","2015","AMR","VEN","0","0.00000","","","","",""
"WHS3_43","PUBLISHED","2016","AMR","VEN","2","2.00000","","","","",""
"WHS3_43","PUBLISHED","2017","AMR","VEN","21","21.00000","","","","",""
"WHS3_43","PUBLISHED","2018","AMR","VEN","144","144.00000","","","","",""
"WHS3_43","PUBLISHED","2019","AMR","VEN","217","217.00000","","","","",""
"WHS3_43","PUBLISHED","2020","AMR","VEN","1","1.00000","","","","",""
"WHS3_43","PUBLISHED","2021","AMR","VEN","0","0.00000","","","","",""
