"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_56","PUBLISHED","1978","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1979","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1980","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1981","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1982","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1983","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1984","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1985","AMR","BOL","9","9.00000","","","","",""
"WHS3_56","PUBLISHED","1986","AMR","BOL","69","69.00000","","","","",""
"WHS3_56","PUBLISHED","1987","AMR","BOL","86","86.00000","","","","",""
"WHS3_56","PUBLISHED","1988","AMR","BOL","118","118.00000","","","","",""
"WHS3_56","PUBLISHED","1989","AMR","BOL","102","102.00000","","","","",""
"WHS3_56","PUBLISHED","1990","AMR","BOL","46","46.00000","","","","",""
"WHS3_56","PUBLISHED","1991","AMR","BOL","53","53.00000","","","","",""
"WHS3_56","PUBLISHED","1992","AMR","BOL","42","42.00000","","","","",""
"WHS3_56","PUBLISHED","1993","AMR","BOL","21","21.00000","","","","",""
"WHS3_56","PUBLISHED","1994","AMR","BOL","21","21.00000","","","","",""
"WHS3_56","PUBLISHED","1995","AMR","BOL","20","20.00000","","","","",""
"WHS3_56","PUBLISHED","1996","AMR","BOL","14","14.00000","","","","",""
"WHS3_56","PUBLISHED","1997","AMR","BOL","14","14.00000","","","","",""
"WHS3_56","PUBLISHED","1998","AMR","BOL","9","9.00000","","","","",""
"WHS3_56","PUBLISHED","1999","AMR","BOL","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2000","AMR","BOL","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2001","AMR","BOL","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2002","AMR","BOL","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2003","AMR","BOL","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2004","AMR","BOL","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2005","AMR","BOL","5","5.00000","","","","",""
"WHS3_56","PUBLISHED","2006","AMR","BOL","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2007","AMR","BOL","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2008","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2009","AMR","BOL","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2010","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2011","AMR","BOL","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2012","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2013","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2014","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2015","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2016","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2017","AMR","BOL","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2018","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2019","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2020","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2021","AMR","BOL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2022","AMR","BOL","0","0.00000","","","","",""
