"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_56","PUBLISHED","1978","AMR","BRA","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1979","AMR","BRA","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1980","AMR","BRA","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1981","AMR","BRA","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1982","AMR","BRA","572","572.00000","","","","",""
"WHS3_56","PUBLISHED","1983","AMR","BRA","706","706.00000","","","","",""
"WHS3_56","PUBLISHED","1984","AMR","BRA","602","602.00000","","","","",""
"WHS3_56","PUBLISHED","1985","AMR","BRA","684","684.00000","","","","",""
"WHS3_56","PUBLISHED","1986","AMR","BRA","497","497.00000","","","","",""
"WHS3_56","PUBLISHED","1987","AMR","BRA","464","464.00000","","","","",""
"WHS3_56","PUBLISHED","1988","AMR","BRA","403","403.00000","","","","",""
"WHS3_56","PUBLISHED","1989","AMR","BRA","392","392.00000","","","","",""
"WHS3_56","PUBLISHED","1990","AMR","BRA","298","298.00000","","","","",""
"WHS3_56","PUBLISHED","1991","AMR","BRA","272","272.00000","","","","",""
"WHS3_56","PUBLISHED","1992","AMR","BRA","229","229.00000","","","","",""
"WHS3_56","PUBLISHED","1993","AMR","BRA","218","218.00000","","","","",""
"WHS3_56","PUBLISHED","1994","AMR","BRA","185","185.00000","","","","",""
"WHS3_56","PUBLISHED","1995","AMR","BRA","128","128.00000","","","","",""
"WHS3_56","PUBLISHED","1996","AMR","BRA","86","86.00000","","","","",""
"WHS3_56","PUBLISHED","1997","AMR","BRA","74","74.00000","","","","",""
"WHS3_56","PUBLISHED","1998","AMR","BRA","72","72.00000","","","","",""
"WHS3_56","PUBLISHED","1999","AMR","BRA","66","66.00000","","","","",""
"WHS3_56","PUBLISHED","2000","AMR","BRA","34","34.00000","","","","",""
"WHS3_56","PUBLISHED","2001","AMR","BRA","17","17.00000","","","","",""
"WHS3_56","PUBLISHED","2002","AMR","BRA","31","31.00000","","","","",""
"WHS3_56","PUBLISHED","2003","AMR","BRA","15","15.00000","","","","",""
"WHS3_56","PUBLISHED","2004","AMR","BRA","14","14.00000","","","","",""
"WHS3_56","PUBLISHED","2005","AMR","BRA","10","10.00000","","","","",""
"WHS3_56","PUBLISHED","2006","AMR","BRA","8","8.00000","","","","",""
"WHS3_56","PUBLISHED","2007","AMR","BRA","5","5.00000","","","","",""
"WHS3_56","PUBLISHED","2008","AMR","BRA","6","6.00000","","","","",""
"WHS3_56","PUBLISHED","2009","AMR","BRA","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2010","AMR","BRA","6","6.00000","","","","",""
"WHS3_56","PUBLISHED","2011","AMR","BRA","6","6.00000","","","","",""
"WHS3_56","PUBLISHED","2012","AMR","BRA","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2013","AMR","BRA","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2014","AMR","BRA","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2015","AMR","BRA","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2016","AMR","BRA","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2017","AMR","BRA","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2018","AMR","BRA","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2019","AMR","BRA","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2020","AMR","BRA","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2021","AMR","BRA","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2022","AMR","BRA","0","0.00000","","","","",""
