"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_56","PUBLISHED","1977","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1978","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1979","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1980","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1981","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1982","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1983","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1984","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1985","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1986","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1987","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1988","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1989","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1990","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1991","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1992","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1993","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1994","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2000","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2001","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2002","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2003","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2004","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2005","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2007","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2008","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2009","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2010","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2011","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2014","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2015","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2016","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2017","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2018","AMR","CAN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2019","AMR","CAN","0","0.00000","","","","",""
