"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_56","PUBLISHED","1978","AMR","COL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1979","AMR","COL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1980","AMR","COL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1981","AMR","COL","61","61.00000","","","","",""
"WHS3_56","PUBLISHED","1982","AMR","COL","87","87.00000","","","","",""
"WHS3_56","PUBLISHED","1983","AMR","COL","306","306.00000","","","","",""
"WHS3_56","PUBLISHED","1984","AMR","COL","294","294.00000","","","","",""
"WHS3_56","PUBLISHED","1985","AMR","COL","252","252.00000","","","","",""
"WHS3_56","PUBLISHED","1986","AMR","COL","211","211.00000","","","","",""
"WHS3_56","PUBLISHED","1987","AMR","COL","203","203.00000","","","","",""
"WHS3_56","PUBLISHED","1988","AMR","COL","193","193.00000","","","","",""
"WHS3_56","PUBLISHED","1989","AMR","COL","135","135.00000","","","","",""
"WHS3_56","PUBLISHED","1990","AMR","COL","133","133.00000","","","","",""
"WHS3_56","PUBLISHED","1991","AMR","COL","99","99.00000","","","","",""
"WHS3_56","PUBLISHED","1992","AMR","COL","86","86.00000","","","","",""
"WHS3_56","PUBLISHED","1993","AMR","COL","77","77.00000","","","","",""
"WHS3_56","PUBLISHED","1994","AMR","COL","61","61.00000","","","","",""
"WHS3_56","PUBLISHED","1995","AMR","COL","35","35.00000","","","","",""
"WHS3_56","PUBLISHED","1996","AMR","COL","26","26.00000","","","","",""
"WHS3_56","PUBLISHED","1997","AMR","COL","24","24.00000","","","","",""
"WHS3_56","PUBLISHED","1998","AMR","COL","21","21.00000","","","","",""
"WHS3_56","PUBLISHED","1999","AMR","COL","19","19.00000","","","","",""
"WHS3_56","PUBLISHED","2000","AMR","COL","10","10.00000","","","","",""
"WHS3_56","PUBLISHED","2001","AMR","COL","15","15.00000","","","","",""
"WHS3_56","PUBLISHED","2002","AMR","COL","12","12.00000","","","","",""
"WHS3_56","PUBLISHED","2003","AMR","COL","7","7.00000","","","","",""
"WHS3_56","PUBLISHED","2004","AMR","COL","8","8.00000","","","","",""
"WHS3_56","PUBLISHED","2005","AMR","COL","9","9.00000","","","","",""
"WHS3_56","PUBLISHED","2006","AMR","COL","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2007","AMR","COL","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2008","AMR","COL","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2009","AMR","COL","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2010","AMR","COL","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2011","AMR","COL","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2012","AMR","COL","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2013","AMR","COL","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2014","AMR","COL","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2015","AMR","COL","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2016","AMR","COL","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2017","AMR","COL","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2018","AMR","COL","5","5.00000","","","","",""
"WHS3_56","PUBLISHED","2019","AMR","COL","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2020","AMR","COL","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2021","AMR","COL","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2022","AMR","COL","3","3.00000","","","","",""
