"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_56","PUBLISHED","1978","AMR","DOM","49","49.00000","","","","",""
"WHS3_56","PUBLISHED","1979","AMR","DOM","46","46.00000","","","","",""
"WHS3_56","PUBLISHED","1980","AMR","DOM","14","14.00000","","","","",""
"WHS3_56","PUBLISHED","1981","AMR","DOM","10","10.00000","","","","",""
"WHS3_56","PUBLISHED","1982","AMR","DOM","6","6.00000","","","","",""
"WHS3_56","PUBLISHED","1983","AMR","DOM","19","19.00000","","","","",""
"WHS3_56","PUBLISHED","1984","AMR","DOM","15","15.00000","","","","",""
"WHS3_56","PUBLISHED","1985","AMR","DOM","12","12.00000","","","","",""
"WHS3_56","PUBLISHED","1986","AMR","DOM","8","8.00000","","","","",""
"WHS3_56","PUBLISHED","1987","AMR","DOM","7","7.00000","","","","",""
"WHS3_56","PUBLISHED","1988","AMR","DOM","33","33.00000","","","","",""
"WHS3_56","PUBLISHED","1989","AMR","DOM","13","13.00000","","","","",""
"WHS3_56","PUBLISHED","1990","AMR","DOM","12","12.00000","","","","",""
"WHS3_56","PUBLISHED","1991","AMR","DOM","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","1992","AMR","DOM","5","5.00000","","","","",""
"WHS3_56","PUBLISHED","1993","AMR","DOM","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1994","AMR","DOM","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","1995","AMR","DOM","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","1996","AMR","DOM","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1997","AMR","DOM","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1998","AMR","DOM","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1999","AMR","DOM","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2000","AMR","DOM","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2001","AMR","DOM","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2002","AMR","DOM","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2003","AMR","DOM","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2004","AMR","DOM","5","5.00000","","","","",""
"WHS3_56","PUBLISHED","2005","AMR","DOM","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2006","AMR","DOM","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2007","AMR","DOM","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2008","AMR","DOM","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2009","AMR","DOM","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2010","AMR","DOM","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2011","AMR","DOM","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2012","AMR","DOM","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2013","AMR","DOM","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2014","AMR","DOM","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2015","AMR","DOM","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2016","AMR","DOM","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2017","AMR","DOM","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2018","AMR","DOM","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2019","AMR","DOM","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2020","AMR","DOM","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2021","AMR","DOM","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2022","AMR","DOM","1","1.00000","","","","",""
