"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_56","PUBLISHED","1978","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1979","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1980","AMR","SLV","61","61.00000","","","","",""
"WHS3_56","PUBLISHED","1981","AMR","SLV","88","88.00000","","","","",""
"WHS3_56","PUBLISHED","1982","AMR","SLV","92","92.00000","","","","",""
"WHS3_56","PUBLISHED","1983","AMR","SLV","38","38.00000","","","","",""
"WHS3_56","PUBLISHED","1984","AMR","SLV","54","54.00000","","","","",""
"WHS3_56","PUBLISHED","1985","AMR","SLV","52","52.00000","","","","",""
"WHS3_56","PUBLISHED","1986","AMR","SLV","39","39.00000","","","","",""
"WHS3_56","PUBLISHED","1987","AMR","SLV","26","26.00000","","","","",""
"WHS3_56","PUBLISHED","1988","AMR","SLV","33","33.00000","","","","",""
"WHS3_56","PUBLISHED","1989","AMR","SLV","25","25.00000","","","","",""
"WHS3_56","PUBLISHED","1990","AMR","SLV","25","25.00000","","","","",""
"WHS3_56","PUBLISHED","1991","AMR","SLV","18","18.00000","","","","",""
"WHS3_56","PUBLISHED","1992","AMR","SLV","25","25.00000","","","","",""
"WHS3_56","PUBLISHED","1993","AMR","SLV","18","18.00000","","","","",""
"WHS3_56","PUBLISHED","1994","AMR","SLV","9","9.00000","","","","",""
"WHS3_56","PUBLISHED","1995","AMR","SLV","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","1996","AMR","SLV","5","5.00000","","","","",""
"WHS3_56","PUBLISHED","1997","AMR","SLV","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","1998","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1999","AMR","SLV","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2000","AMR","SLV","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2001","AMR","SLV","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2002","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2003","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2004","AMR","SLV","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2005","AMR","SLV","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2006","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2007","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2008","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2009","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2010","AMR","SLV","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2011","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2012","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2013","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2014","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2015","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2016","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2017","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2018","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2019","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2020","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2021","AMR","SLV","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2022","AMR","SLV","0","0.00000","","","","",""
