"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_56","PUBLISHED","1978","AMR","HTI","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1979","AMR","HTI","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1980","AMR","HTI","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1981","AMR","HTI","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","1982","AMR","HTI","68","68.00000","","","","",""
"WHS3_56","PUBLISHED","1983","AMR","HTI","125","125.00000","","","","",""
"WHS3_56","PUBLISHED","1984","AMR","HTI","98","98.00000","","","","",""
"WHS3_56","PUBLISHED","1985","AMR","HTI","57","57.00000","","","","",""
"WHS3_56","PUBLISHED","1986","AMR","HTI","57","57.00000","","","","",""
"WHS3_56","PUBLISHED","1987","AMR","HTI","75","75.00000","","","","",""
"WHS3_56","PUBLISHED","1988","AMR","HTI","63","63.00000","","","","",""
"WHS3_56","PUBLISHED","1989","AMR","HTI","153","153.00000","","","","",""
"WHS3_56","PUBLISHED","1990","AMR","HTI","143","143.00000","","","","",""
"WHS3_56","PUBLISHED","1995","AMR","HTI","78","78.00000","","","","",""
"WHS3_56","PUBLISHED","1997","AMR","HTI","33","33.00000","","","","",""
"WHS3_56","PUBLISHED","1998","AMR","HTI","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","1999","AMR","HTI","42","42.00000","","","","",""
"WHS3_56","PUBLISHED","2000","AMR","HTI","40","40.00000","","","","",""
"WHS3_56","PUBLISHED","2001","AMR","HTI","84","84.00000","","","","",""
"WHS3_56","PUBLISHED","2002","AMR","HTI","27","27.00000","","","","",""
"WHS3_56","PUBLISHED","2003","AMR","HTI","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2004","AMR","HTI","33","33.00000","","","","",""
"WHS3_56","PUBLISHED","2005","AMR","HTI","71","71.00000","","","","",""
"WHS3_56","PUBLISHED","2006","AMR","HTI","53","53.00000","","","","",""
"WHS3_56","PUBLISHED","2007","AMR","HTI","38","38.00000","","","","",""
"WHS3_56","PUBLISHED","2008","AMR","HTI","16","16.00000","","","","",""
"WHS3_56","PUBLISHED","2009","AMR","HTI","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2010","AMR","HTI","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2011","AMR","HTI","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2012","AMR","HTI","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2013","AMR","HTI","15","15.00000","","","","",""
"WHS3_56","PUBLISHED","2014","AMR","HTI","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2015","AMR","HTI","13","13.00000","","","","",""
"WHS3_56","PUBLISHED","2017","AMR","HTI","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2018","AMR","HTI","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2019","AMR","HTI","5","5.00000","","","","",""
"WHS3_56","PUBLISHED","2020","AMR","HTI","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2021","AMR","HTI","7","7.00000","","","","",""
