"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_56","PUBLISHED","1978","AMR","HND","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1979","AMR","HND","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1980","AMR","HND","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1981","AMR","HND","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","1982","AMR","HND","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","1983","AMR","HND","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1984","AMR","HND","20","20.00000","","","","",""
"WHS3_56","PUBLISHED","1985","AMR","HND","20","20.00000","","","","",""
"WHS3_56","PUBLISHED","1986","AMR","HND","24","24.00000","","","","",""
"WHS3_56","PUBLISHED","1987","AMR","HND","21","21.00000","","","","",""
"WHS3_56","PUBLISHED","1988","AMR","HND","24","24.00000","","","","",""
"WHS3_56","PUBLISHED","1989","AMR","HND","20","20.00000","","","","",""
"WHS3_56","PUBLISHED","1990","AMR","HND","39","39.00000","","","","",""
"WHS3_56","PUBLISHED","1991","AMR","HND","18","18.00000","","","","",""
"WHS3_56","PUBLISHED","1992","AMR","HND","10","10.00000","","","","",""
"WHS3_56","PUBLISHED","1993","AMR","HND","5","5.00000","","","","",""
"WHS3_56","PUBLISHED","1994","AMR","HND","10","10.00000","","","","",""
"WHS3_56","PUBLISHED","1995","AMR","HND","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","1996","AMR","HND","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","1997","AMR","HND","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","1998","AMR","HND","6","6.00000","","","","",""
"WHS3_56","PUBLISHED","1999","AMR","HND","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2000","AMR","HND","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2001","AMR","HND","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2002","AMR","HND","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2003","AMR","HND","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2004","AMR","HND","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2005","AMR","HND","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2006","AMR","HND","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2007","AMR","HND","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2008","AMR","HND","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2009","AMR","HND","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2010","AMR","HND","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2011","AMR","HND","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2012","AMR","HND","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2013","AMR","HND","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2014","AMR","HND","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2015","AMR","HND","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2016","AMR","HND","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2017","AMR","HND","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2018","AMR","HND","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2019","AMR","HND","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2020","AMR","HND","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2021","AMR","HND","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2022","AMR","HND","2","2.00000","","","","",""
