"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_56","PUBLISHED","1978","AMR","PRY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1979","AMR","PRY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1980","AMR","PRY","99","99.00000","","","","",""
"WHS3_56","PUBLISHED","1981","AMR","PRY","104","104.00000","","","","",""
"WHS3_56","PUBLISHED","1982","AMR","PRY","113","113.00000","","","","",""
"WHS3_56","PUBLISHED","1983","AMR","PRY","114","114.00000","","","","",""
"WHS3_56","PUBLISHED","1984","AMR","PRY","81","81.00000","","","","",""
"WHS3_56","PUBLISHED","1985","AMR","PRY","76","76.00000","","","","",""
"WHS3_56","PUBLISHED","1986","AMR","PRY","59","59.00000","","","","",""
"WHS3_56","PUBLISHED","1987","AMR","PRY","59","59.00000","","","","",""
"WHS3_56","PUBLISHED","1988","AMR","PRY","55","55.00000","","","","",""
"WHS3_56","PUBLISHED","1989","AMR","PRY","37","37.00000","","","","",""
"WHS3_56","PUBLISHED","1990","AMR","PRY","38","38.00000","","","","",""
"WHS3_56","PUBLISHED","1991","AMR","PRY","33","33.00000","","","","",""
"WHS3_56","PUBLISHED","1992","AMR","PRY","18","18.00000","","","","",""
"WHS3_56","PUBLISHED","1993","AMR","PRY","29","29.00000","","","","",""
"WHS3_56","PUBLISHED","1994","AMR","PRY","20","20.00000","","","","",""
"WHS3_56","PUBLISHED","1995","AMR","PRY","16","16.00000","","","","",""
"WHS3_56","PUBLISHED","1996","AMR","PRY","10","10.00000","","","","",""
"WHS3_56","PUBLISHED","1997","AMR","PRY","20","20.00000","","","","",""
"WHS3_56","PUBLISHED","1998","AMR","PRY","13","13.00000","","","","",""
"WHS3_56","PUBLISHED","1999","AMR","PRY","10","10.00000","","","","",""
"WHS3_56","PUBLISHED","2000","AMR","PRY","7","7.00000","","","","",""
"WHS3_56","PUBLISHED","2001","AMR","PRY","8","8.00000","","","","",""
"WHS3_56","PUBLISHED","2002","AMR","PRY","8","8.00000","","","","",""
"WHS3_56","PUBLISHED","2003","AMR","PRY","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2004","AMR","PRY","5","5.00000","","","","",""
"WHS3_56","PUBLISHED","2005","AMR","PRY","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2006","AMR","PRY","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2007","AMR","PRY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2008","AMR","PRY","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2009","AMR","PRY","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2010","AMR","PRY","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2011","AMR","PRY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2012","AMR","PRY","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2013","AMR","PRY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2014","AMR","PRY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2015","AMR","PRY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2016","AMR","PRY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2017","AMR","PRY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2018","AMR","PRY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2019","AMR","PRY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2020","AMR","PRY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2021","AMR","PRY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2022","AMR","PRY","0","0.00000","","","","",""
