"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_56","PUBLISHED","1978","AMR","PER","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1979","AMR","PER","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1980","AMR","PER","294","294.00000","","","","",""
"WHS3_56","PUBLISHED","1981","AMR","PER","264","264.00000","","","","",""
"WHS3_56","PUBLISHED","1982","AMR","PER","229","229.00000","","","","",""
"WHS3_56","PUBLISHED","1983","AMR","PER","200","200.00000","","","","",""
"WHS3_56","PUBLISHED","1984","AMR","PER","214","214.00000","","","","",""
"WHS3_56","PUBLISHED","1985","AMR","PER","72","72.00000","","","","",""
"WHS3_56","PUBLISHED","1986","AMR","PER","89","89.00000","","","","",""
"WHS3_56","PUBLISHED","1987","AMR","PER","138","138.00000","","","","",""
"WHS3_56","PUBLISHED","1988","AMR","PER","143","143.00000","","","","",""
"WHS3_56","PUBLISHED","1989","AMR","PER","183","183.00000","","","","",""
"WHS3_56","PUBLISHED","1990","AMR","PER","93","93.00000","","","","",""
"WHS3_56","PUBLISHED","1991","AMR","PER","89","89.00000","","","","",""
"WHS3_56","PUBLISHED","1992","AMR","PER","140","140.00000","","","","",""
"WHS3_56","PUBLISHED","1993","AMR","PER","120","120.00000","","","","",""
"WHS3_56","PUBLISHED","1994","AMR","PER","130","130.00000","","","","",""
"WHS3_56","PUBLISHED","1995","AMR","PER","94","94.00000","","","","",""
"WHS3_56","PUBLISHED","1996","AMR","PER","46","46.00000","","","","",""
"WHS3_56","PUBLISHED","1997","AMR","PER","36","36.00000","","","","",""
"WHS3_56","PUBLISHED","1998","AMR","PER","14","14.00000","","","","",""
"WHS3_56","PUBLISHED","1999","AMR","PER","12","12.00000","","","","",""
"WHS3_56","PUBLISHED","2000","AMR","PER","10","10.00000","","","","",""
"WHS3_56","PUBLISHED","2001","AMR","PER","8","8.00000","","","","",""
"WHS3_56","PUBLISHED","2002","AMR","PER","8","8.00000","","","","",""
"WHS3_56","PUBLISHED","2003","AMR","PER","11","11.00000","","","","",""
"WHS3_56","PUBLISHED","2004","AMR","PER","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2005","AMR","PER","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2006","AMR","PER","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2007","AMR","PER","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2008","AMR","PER","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2009","AMR","PER","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2010","AMR","PER","5","5.00000","","","","",""
"WHS3_56","PUBLISHED","2011","AMR","PER","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2012","AMR","PER","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2013","AMR","PER","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2014","AMR","PER","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2015","AMR","PER","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2016","AMR","PER","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2017","AMR","PER","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2018","AMR","PER","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2019","AMR","PER","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2020","AMR","PER","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2021","AMR","PER","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2022","AMR","PER","0","0.00000","","","","",""
