"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_56","PUBLISHED","1978","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1979","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1980","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1981","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1982","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1983","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1984","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1985","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1986","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1987","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1988","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1989","AMR","TTO","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","1990","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1991","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1992","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1993","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1994","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1995","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1996","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1997","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1998","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1999","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2000","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2001","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2002","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2003","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2004","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2005","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2006","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2007","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2008","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2009","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2010","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2011","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2012","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2013","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2014","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2015","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2016","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2017","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2018","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2020","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2021","AMR","TTO","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2022","AMR","TTO","0","0.00000","","","","",""
