"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_56","PUBLISHED","1974","AMR","URY","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","1975","AMR","URY","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","1976","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1977","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1978","AMR","URY","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","1979","AMR","URY","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","1980","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1981","AMR","URY","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","1982","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1983","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1984","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1985","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1986","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1987","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1988","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1989","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1990","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1991","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1992","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1993","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1994","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1995","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1996","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1997","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1998","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","1999","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2000","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2001","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2002","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2003","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2004","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2005","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2006","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2007","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2008","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2009","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2010","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2011","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2012","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2013","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2014","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2015","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2016","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2017","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2018","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2019","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2020","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2021","AMR","URY","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2022","AMR","URY","0","0.00000","","","","",""
