"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_56","PUBLISHED","1974","AMR","VEN","227","227.00000","","","","",""
"WHS3_56","PUBLISHED","1975","AMR","VEN","281","281.00000","","","","",""
"WHS3_56","PUBLISHED","1976","AMR","VEN","207","207.00000","","","","",""
"WHS3_56","PUBLISHED","1977","AMR","VEN","135","135.00000","","","","",""
"WHS3_56","PUBLISHED","1978","AMR","VEN","141","141.00000","","","","",""
"WHS3_56","PUBLISHED","1979","AMR","VEN","111","111.00000","","","","",""
"WHS3_56","PUBLISHED","1980","AMR","VEN","129","129.00000","","","","",""
"WHS3_56","PUBLISHED","1981","AMR","VEN","143","143.00000","","","","",""
"WHS3_56","PUBLISHED","1982","AMR","VEN","132","132.00000","","","","",""
"WHS3_56","PUBLISHED","1983","AMR","VEN","101","101.00000","","","","",""
"WHS3_56","PUBLISHED","1984","AMR","VEN","77","77.00000","","","","",""
"WHS3_56","PUBLISHED","1985","AMR","VEN","70","70.00000","","","","",""
"WHS3_56","PUBLISHED","1986","AMR","VEN","59","59.00000","","","","",""
"WHS3_56","PUBLISHED","1987","AMR","VEN","53","53.00000","","","","",""
"WHS3_56","PUBLISHED","1988","AMR","VEN","43","43.00000","","","","",""
"WHS3_56","PUBLISHED","1989","AMR","VEN","46","46.00000","","","","",""
"WHS3_56","PUBLISHED","1990","AMR","VEN","28","28.00000","","","","",""
"WHS3_56","PUBLISHED","1991","AMR","VEN","35","35.00000","","","","",""
"WHS3_56","PUBLISHED","1992","AMR","VEN","29","29.00000","","","","",""
"WHS3_56","PUBLISHED","1993","AMR","VEN","27","27.00000","","","","",""
"WHS3_56","PUBLISHED","1994","AMR","VEN","14","14.00000","","","","",""
"WHS3_56","PUBLISHED","1995","AMR","VEN","18","18.00000","","","","",""
"WHS3_56","PUBLISHED","1996","AMR","VEN","14","14.00000","","","","",""
"WHS3_56","PUBLISHED","1997","AMR","VEN","7","7.00000","","","","",""
"WHS3_56","PUBLISHED","1998","AMR","VEN","7","7.00000","","","","",""
"WHS3_56","PUBLISHED","1999","AMR","VEN","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2000","AMR","VEN","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2001","AMR","VEN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2002","AMR","VEN","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2003","AMR","VEN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2004","AMR","VEN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2005","AMR","VEN","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2006","AMR","VEN","4","4.00000","","","","",""
"WHS3_56","PUBLISHED","2007","AMR","VEN","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2008","AMR","VEN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2009","AMR","VEN","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2010","AMR","VEN","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2011","AMR","VEN","3","3.00000","","","","",""
"WHS3_56","PUBLISHED","2012","AMR","VEN","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2013","AMR","VEN","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2014","AMR","VEN","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2015","AMR","VEN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2016","AMR","VEN","2","2.00000","","","","",""
"WHS3_56","PUBLISHED","2017","AMR","VEN","1","1.00000","","","","",""
"WHS3_56","PUBLISHED","2018","AMR","VEN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2019","AMR","VEN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2020","AMR","VEN","0","0.00000","","","","",""
"WHS3_56","PUBLISHED","2021","AMR","VEN","2","2.00000","","","","",""
