"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS4_100","PUBLISHED","2000","AMR","CHL","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2001","AMR","CHL","97","97.00000","","","","",""
"WHS4_100","PUBLISHED","2002","AMR","CHL","97","97.00000","","","","",""
"WHS4_100","PUBLISHED","2003","AMR","CHL","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2004","AMR","CHL","93","93.00000","","","","",""
"WHS4_100","PUBLISHED","2005","AMR","CHL","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2006","AMR","CHL","94","94.00000","","","","",""
"WHS4_100","PUBLISHED","2007","AMR","CHL","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2008","AMR","CHL","95","95.00000","","","","",""
"WHS4_100","PUBLISHED","2009","AMR","CHL","94","94.00000","","","","",""
"WHS4_100","PUBLISHED","2010","AMR","CHL","92","92.00000","","","","",""
"WHS4_100","PUBLISHED","2011","AMR","CHL","94","94.00000","","","","",""
"WHS4_100","PUBLISHED","2012","AMR","CHL","90","90.00000","","","","",""
"WHS4_100","PUBLISHED","2013","AMR","CHL","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2014","AMR","CHL","95","95.00000","","","","",""
"WHS4_100","PUBLISHED","2015","AMR","CHL","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2016","AMR","CHL","95","95.00000","","","","",""
"WHS4_100","PUBLISHED","2017","AMR","CHL","93","93.00000","","","","",""
"WHS4_100","PUBLISHED","2018","AMR","CHL","95","95.00000","","","","",""
"WHS4_100","PUBLISHED","2019","AMR","CHL","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2020","AMR","CHL","93","93.00000","","","","",""
"WHS4_100","PUBLISHED","2021","AMR","CHL","95","95.00000","","","","",""
"WHS4_100","PUBLISHED","2022","AMR","CHL","96","96.00000","","","","",""
