"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS4_100","PUBLISHED","2000","AMR","CRI","88","88.00000","","","","",""
"WHS4_100","PUBLISHED","2001","AMR","CRI","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2002","AMR","CRI","94","94.00000","","","","",""
"WHS4_100","PUBLISHED","2003","AMR","CRI","88","88.00000","","","","",""
"WHS4_100","PUBLISHED","2004","AMR","CRI","90","90.00000","","","","",""
"WHS4_100","PUBLISHED","2005","AMR","CRI","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2006","AMR","CRI","89","89.00000","","","","",""
"WHS4_100","PUBLISHED","2007","AMR","CRI","89","89.00000","","","","",""
"WHS4_100","PUBLISHED","2008","AMR","CRI","90","90.00000","","","","",""
"WHS4_100","PUBLISHED","2009","AMR","CRI","86","86.00000","","","","",""
"WHS4_100","PUBLISHED","2010","AMR","CRI","88","88.00000","","","","",""
"WHS4_100","PUBLISHED","2011","AMR","CRI","85","85.00000","","","","",""
"WHS4_100","PUBLISHED","2012","AMR","CRI","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2013","AMR","CRI","95","95.00000","","","","",""
"WHS4_100","PUBLISHED","2014","AMR","CRI","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2015","AMR","CRI","92","92.00000","","","","",""
"WHS4_100","PUBLISHED","2016","AMR","CRI","97","97.00000","","","","",""
"WHS4_100","PUBLISHED","2017","AMR","CRI","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2018","AMR","CRI","94","94.00000","","","","",""
"WHS4_100","PUBLISHED","2019","AMR","CRI","95","95.00000","","","","",""
"WHS4_100","PUBLISHED","2020","AMR","CRI","97","97.00000","","","","",""
"WHS4_100","PUBLISHED","2021","AMR","CRI","93","93.00000","","","","",""
"WHS4_100","PUBLISHED","2022","AMR","CRI","95","95.00000","","","","",""
