"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS4_100","PUBLISHED","2000","AMR","DMA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2001","AMR","DMA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2002","AMR","DMA","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2003","AMR","DMA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2004","AMR","DMA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2005","AMR","DMA","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2006","AMR","DMA","95","95.00000","","","","",""
"WHS4_100","PUBLISHED","2007","AMR","DMA","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2008","AMR","DMA","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2009","AMR","DMA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2010","AMR","DMA","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2011","AMR","DMA","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2012","AMR","DMA","97","97.00000","","","","",""
"WHS4_100","PUBLISHED","2013","AMR","DMA","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2014","AMR","DMA","97","97.00000","","","","",""
"WHS4_100","PUBLISHED","2015","AMR","DMA","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2016","AMR","DMA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2017","AMR","DMA","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2018","AMR","DMA","94","94.00000","","","","",""
"WHS4_100","PUBLISHED","2019","AMR","DMA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2020","AMR","DMA","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2021","AMR","DMA","92","92.00000","","","","",""
"WHS4_100","PUBLISHED","2022","AMR","DMA","92","92.00000","","","","",""
